deplorable,see
frivolity,see
accessorized,+
addlepated,""
flexibility,Middle English
catalyst,see
approbatory,see
hackneyed,see
credential,see
credential,see
credential,see
bohemian,see
gibraltar,""
imperilment,Middle English
augury,see
catechism,see
blandishment,see
cryophilic,""
rectigrade,+
adjudicate,borrowed from Latin
adjudicate,Latin
acerbity,borrowed from Middle French
forbearance,see
cauterize,see
effusive,borrowed from Medieval Latin
gouda,""
covetous,see
fissiped,[
fissiped,Late Latin
acculturation,+
unmanacle,+
borzoi,Russian
sybaritic,[
abhorrence,+
neonatology,""
saccharoid,International Scientific Vocabulary
alliance,see
abominable,Middle English
facilitator,""
contrition,see
concurrence,see
contemptible,see
indexically,+
dilapidated,see
actuality,Middle English
conjunction,see
dynasty,see
consciousness,see
clemency,see
appendages,[
acquittal,Middle English
allayment,+
aspersion,see
appellations,see
holophytic,""
cryology,+
duplicitous,see
selenian,+
blasphemy,see
dysgraphia,+ Greek
Mediterranean,[
flexure,borrowed from Latin
obelus,Middle English
appurtenance,see
appurtenance,Anglo-French
conferential,see
achondrite,probably borrowed from German
baedeker,Karl
naris,borrowed from Latin
derelict,Latin
derelict,see
hermeneutics,see
chicanery,see
circumstantial,see
cryptanalysis,""
hackneyed,see
accessible,Middle English
imperil,Middle English
cynicism,see
acetylene,borrowed from French
whippoorwill,imitative
bifurcation,see
defeasible,alteration (conformed to
heterogeneity,see
neophiliac,""
gemmary,+
tonitruous,from Latin
vaticination,borrowed from Latin
farrago,Latin
minuscular,+
scripophily,+
florigen,International Scientific Vocabulary
sicklocyte,+
heliophyte,+
denunciation,see
desperately,see
coordinate,probably back-formation from
coordinate,see
coordinate,see
geometrically,see
consequently,see
disclaimant,Middle English
singe,Middle English
coincidental,+
drudgery,see
braggart,in part from
cauterize,see
acerbity,borrowed from Middle French
adenoidal,""
vaccinate,earlier
gutturalize,+
aggrieved,Middle English
vasodilator,+
armature,Middle English
pedigerous,+
acuminate,borrowed from Latin
metage,+
abysmal,+
accompaniment,+
genocide,+
experiential,borrowed from New Latin
frivolity,see
harmoniously,see
deficiency,""
depravity,see
foundry,borrowed from Middle French
constituency,see
complicity,see
vaunted,from past participle of
kernelly,+
negotiability,""
commissioner,Middle English
vehemence,Middle English
glary,see
burglarious,Anglo-French
beguile,Middle English
apocalyptic,see
jurisprudence,see
jurisprudence,Late Latin
amalgamation,see
asphyxiated,see
hallucination,see
noctilucent,[
noctilucent,[
serried,[
martinetish,+
garrulity,borrowed from Middle French & Latin; Middle French
patriciate,see
oncogeny,+
bedizen,+
venire,earlier
venire,probably from
achondrite,probably borrowed from German
dacquoise,French
parricide,[
parricide,[
parricide,Latin
consanguinity,see
aerodynamic,""
spelunking,""
capitulation,see
bombastic,""
guilelessness,see
aristocrat,see
fabulist,probably borrowed from Middle French
galvanize,borrowed from French
neonatology,""
actinic,Greek
acetylene,borrowed from French
whelked,+
whelked,+
golgotha,""
squibbery,+
fissiped,[
fissiped,Late Latin
inesculent,+
borzoi,Russian
plagiarize,from
flagellatory,+
bathyal,Greek
airedale,""
bifurcation,see
whippoorwill,imitative
hermeneutics,see
tonitruous,from Latin
chymous,New Latin
cheliferous,+
scripophily,+
metage,+
obelus,Middle English
adjudicate,borrowed from Latin
adjudicate,Latin
avaricious,see
acuminate,borrowed from Latin
elutriation,Latin
venire,earlier
venire,probably from
chelate,[
dacquoise,French
vaticination,borrowed from Latin
hermeneutics,see
chicanery,see
vehemence,Middle English
sybaritic,[
catechistic,see
amyelonic,+
saccharoid,International Scientific Vocabulary
Aesopian,from Latin
perjury,Anglo-French
prodigal,Latin
prodigal,see
replicatile,+
ventriloquy,borrowed from New Latin
squibbery,+
selenography,+
tonitruous,from Latin
indiscerptible,+
insessorial,[
insessorial,[
agist,""
heterocoelous,[
torrenticole,+
tontiner,+
whippoorwill,imitative
philomath,Greek
aspersion,see
Worcestershire,""
boundary,+
desperately,see
jubilant,see
fascinating,see
forgery,""
assistance,see
felony,see
criticism,+
autumn,Middle English
committee,Middle English
hesitant,see
fundamentalist,""
defendant,Middle English
defendant,Middle English
confidential,see
academic,borrowed from Middle French & Latin; Middle French
academic,borrowed from Middle French & Latin; Middle French
imaginary,Middle English
argumentative,see
dynasty,see
advisable,""
attendance,see
empiricism,""
beguile,Middle English
diametrically,see
advantageous,borrowed from Middle French
quasi,Latin
quasi,Latin
nowanights,+
pharyngitis,borrowed from New Latin
acariasis,+
acuminate,borrowed from Latin
melotrope,+
sicklocyte,+
monolithic,see
heretical,see
hackneyed,see
assimilation,see
thespian,[
fictionalize,""
approbatory,see
spelunking,""
variegated,from past participle of
deferential,see
convergent,see
churlish,see
vaccinate,earlier
neophiliac,""
jurisprudence,see
jurisprudence,Late Latin
attendant,see
attendant,see
rescindable,Latin
rescindable,Latin
oppressive,borrowed from Middle French & Medieval Latin; Middle French
humorous,see
convenience,see
convenience,see
deferred,see
deplorable,see
deficiency,""
grammatical,see
accountant,Middle English
accountant,Middle English
committal,""
density,see
delicacy,see
appalling,see
contagious,see
braggart,in part from
curiosity,see
fundamental,Middle English
fundamental,derivative of
habitual,see
Parnassian,[
Parnassian,[
elutriation,Latin
orrisroot,""
cauterize,see
vasopressor,+
teleoptile,+
embosk,+
patriciate,see
diffidence,see
quiescency,Late Latin
constituency,see
chaudfroid,French
biauriculate,+
Weissnichtwo,from
Wiccan,probably from Old English
iridescence,""
alation,+
bilophodont,+
paracusia,New Latin from
aerobicize,""
Weissnichtwo,from
acquiescence,borrowed from French
Wiccan,probably from Old English
fistiana,+
bombardier,borrowed from Middle French
abhorrence,+
pargetry,+
exuviate,al +
acerbity,borrowed from Middle French
Aesopian,from Latin
farrago,Latin
imperilment,Middle English
haberdashery,see
dystopia,New Latin
shoaly,+
vandalize,+
Wiccan,probably from Old English
braggart,in part from
neonatology,""
golgotha,""
gemmary,+
twoling,+
vaticination,borrowed from Latin
cryophilic,""
segmentate,+
jurisprudence,see
jurisprudence,Late Latin
Weissnichtwo,from
phlogistic,[
phlogistic,[
borzoi,Russian
tuckahoe,Virginia Algonquian
weissnichtwo,from
bobadil,after Captain
Wiccan,probably from Old English
bathyal,Greek
Bunyanesque,[
Bunyanesque,[
vaccinee,+
acquittal,Middle English
acuminate,borrowed from Latin
abbatial,borrowed from French
adenoidal,""
telergy,+
erethic,French
bobadil,after Captain
Weissnichtwo,from
accessorial,+
vagarious,+
acetylene,borrowed from French
chivalrous,see
pedigerous,+
neophiliac,""
asphyxiate,see
daphnean,""
hermeneutics,see
helophyte,+
renegade,Spanish
sputnik,Russian
salmonella,New Latin
barabara,Russian dialect
pumpernickel,German
geoponics,Middle Greek
feldspar,modification of obsolete German
maladroit,French
ampere,André-Marie
musicale,French
klompen,Dutch
oratorio,Italian
synergy,New Latin
wanderlust,German
nightingale,Middle English
periscope,International Scientific Vocabulary
sukiyaki,Japanese
catkin,from its resemblance to a cat's tail
yamen,Chinese (Beijing)
samaritan,[
samaritan,Middle English
flamboyant,French
flamboyant,see
azure,Middle English
mizzle,Middle English
mizzle,origin unknown
alderman,Middle English
llama,Spanish
kudzu,Japanese
nemesis,borrowed from Latin
inferno,Italian
nebbish,Yiddish
vulcanize,International Scientific Vocabulary
mirage,borrowed from French
dungaree,Hindi
plateau,French
perfidy,Latin
hygiene,French
alleviate,Late Latin
omnivorous,Latin
petunia,New Latin
confetti,Italian
samurai,Japanese
polygon,Late Latin
regatta,Italian
daffodil,perhaps from Dutch
capitulation,see
eulogy,Middle English
fennel,Middle English
homonym,Latin
orthodox,Middle English
orthodox,see
borax,Middle English
borax,origin unknown
cockatoo,Dutch
diesel,Rudolf
typhoon,alteration (influenced by Chin — Guangdong —
piccolo,Italian
piccolo,Italian
gazelle,French
implement,Middle English
implement,see
guilder,Middle English
cynical,see
igneous,Latin
bayou,borrowed from Louisiana French
lithe,Middle English
didactic,Greek
tariff,Italian
tariff,Italian
cobalt,German
malaria,Italian
oolong,Chinese (Xiamen)
pacifism,French
aristocracy,Middle French & Late Latin; Middle French
foliate,Latin
magnanimous,Latin
henna,Arabic
Capricorn,Middle English
zenith,Middle English
prosaic,Late Latin
clementine,French
topography,Middle English
leotard,Jules
affinity,Middle English
magnolia,New Latin
contiguous,Latin
furlong,Middle English
persimmon,Virginia Algonquian
babushka,Russian
excise,obsolete Dutch
excise,Latin
hypothesis,Greek
cruller,Dutch
wikiwiki,Hawaiian
anvil,Middle English
Permian,""
patina,Italian
altruism,French
kasha,Russian
wiseacre,Middle Dutch
praline,French
tortoni,probably from
credible,Middle English
mohair,modification of obsolete Italian
trajectory,New Latin
animosity,Middle English
ergonomic,+
hibachi,Japanese
curriculum,New Latin
threshold,Middle English
flamenco,Spanish
amnesia,New Latin
rhetoric,Middle English
cossack,Polish & Ukrainian
autopsy,Greek
oregano,American Spanish
antibiotic,see
antibiotic,see
angst,Danish & German; Danish
phenomenon,Late Latin
knish,Yiddish
adamant,derivative of
adamant,Middle English
odori,Japanese
melancholy,Middle English
melancholy,see
manicure,French
contrapuntal,Italian
scenario,Italian
homogeneous,Medieval Latin
barrage,French
barrage,French (
barrage,verbal derivative of
epiphany,Middle English
linden,Middle English
strudel,German
formidable,Middle English
bowery,[
bowery,Dutch
vigilante,Spanish
elixir,Middle English
diagnosis,New Latin
chronology,New Latin
apostrophe,French & Late Latin; French
apostrophe,Latin
wanton,Middle English
wanton,see
wanton,see
postmortem,Latin
matinee,French
meticulous,earlier
simile,Middle English
haiku,Japanese
herbivore,New Latin
souvenir,French
hassock,Middle English
pangolin,Malay dialect
gardenia,New Latin
hacienda,Spanish
geta,Japanese
geothermal,International Scientific Vocabulary
ingenious,Middle English
temporal,Middle English
temporal,Middle French
temporal,Middle French
purga,Russian
caribou,Canadian French
parfait,French
endemic,borrowed from French & New Latin; French
endemic,derivative of
analysis,New Latin
omnipotent,Middle English
omnipotent,see
mahal,Arabic
mahal,probably after
regime,French
macron,Greek
synopsis,Late Latin
miso,Japanese
cryptoporticus,Latin
guayabi,American Spanish
longanimous,Late Latin
Wensleydale,from
lyddite,""
frijolillo,American Spanish
nockerl,German dialect (Austria)
pirarucu,Portuguese
vermicide,borrowed from French
apostasy,Middle English
carronade,""
prasine,Latin
symplectic,Greek
syncytium,New Latin
epingle,French
guenon,French
chiliad,Late Latin
Gesamtkunstwerk,German
rhopalocercous,(from Greek
hyperpyrexia,New Latin
glyceraldehyde,ic acid +
lasya,Sanskrit
tenaillon,French
asthenia,New Latin
geelhout,Afrikaans
hypsometry,Greek
mucedinous,from Latin
scagliola,Italian
auriphrygiate,modification (influenced by Latin
ideoplastic,International Scientific Vocabulary
stomatitis,New Latin
quale,Latin
chrismon,Medieval Latin
trionychid,New Latin
umbratile,Latin
gelilah,Hebrew
homiletic,Late Latin
chrysophyte,ultimately from Greek
leporine,Latin
rhipiphorid,New Latin
amentia,New Latin
sortition,Latin
balletomane,Russian
dragée,French
nsambya,native name in Uganda
psychosomatic,International Scientific Vocabulary
speleothem,(from Latin
urushiol,International Scientific Vocabulary
Zamzummim,Hebrew
bibliotaphic,French
kokopu,Maori
hieromonk,partial translation of Late Greek or Middle Greek
Adélie,from
macfarlane,prob from the name
ohelo,Hawaiian
juvenilia,Latin
animalcule,New Latin
mappemonde,Middle English
Plantagenet,""
sopapilla,American Spanish
courgette,French
budgerigar,modification of Yuwaalaraay (Australian aboriginal language of northern New South Wales)
colocynth,Latin
navicella,Medieval Latin
seriema,Tupi
tatbeb,French
devaloka,Sanskrit
lathyrism,New Latin
mascarpone,Italian
nonagesimal,Latin
tephra,New Latin
oopuhue,Hawaiian
hyoscyamine,German
gastronome,French
bahuvrihi,Sanskrit
zabaglione,Italian
jacaranda,New Latin
lauhala,Hawaiian
minniebush,(irregular from Archibald
vetturino,Italian
renvoi,French
amphictyony,Greek
villeggiatura,from Italian
brouillon,French
calanque,French
sigatoka,from
philologist,French
berimbau,Brazilian Portuguese
hanuman,Hindi
phalanges,French
nimbostratus,New Latin
diplopia,New Latin
acariasis,+
elytra,New Latin
galapago,Spanish
mesomorph,derm +
balestra,Italian
lokelani,Hawaiian
oleiculture,French
eustacy,International Scientific Vocabulary
ripicolous,from Latin
pileus,[
pileus,New Latin
agama,borrowed from New Latin (Linnaeus)
agama,Sanskrit
bacteriophage,International Scientific Vocabulary
neoterism,Greek
yayoi,from
babiche,Canadian French
obnebulate,+ Latin
béchamel,French
tarantella,Italian
oenomel,Late Latin
caryopsis,New Latin
dysplasia,New Latin
Olmec,Nahuatl
zelkova,New Latin
haberdasher,Middle English
octonocular,Latin
xerogel,German
glossopetrae,New Latin
enthalpy,+ Greek
heliophilous,+
interferon,+
lacustrine,French or Italian
demiglace,French
consigliere,Italian
Castalia,from
Castalia,New Latin
étouffée,Louisiana French
kente,Twi
falbala,French
damson,Middle English
chastushka,Russian
mamushi,Japanese
fluviatile,Middle French
longiloquence,(as in
mendelevium,New Latin
gamboge,earlier
nidulant,Latin
pâtissier,French
sambal,Malay
sambal,Tagalog
diamanté,French
apivorous,probably from French
inessive,Latin
camarilla,Spanish
monepic,+ Greek
procrypsis,New Latin
rollmops,German
osteitic,New Latin
capotasto,Italian
agaric,Middle English
consommé,French
nival,Latin
rescissible,Latin
colcha,Spanish
Syrette,from
bouclé,French
holoku,Hawaiian
calefy,Medieval Latin
nictitate,alteration of
tiple,Spanish
macfarlane,prob from the name
smorzando,from Italian
cataphyll,; intended as translation of German
schnell,German
antenatus,Medieval Latin
jaspé,French
pleonexia,Greek
katakana,Japanese
punchinello,modification of Italian dialect
eupyrion,+ Greek
improvisatrice,Italian
saxaul,probably native name in Turkistan
periastron,New Latin
morphallaxis,New Latin
Dicynodon,New Latin
Hanswurst,German
tristeza,Portuguese
mediobrome,""
canotier,French
opisometer,from Greek
naranjilla,Spanish
fauces,Latin
dicoccous,(from Greek
riegel,German
xenodochium,Late Latin
réchauffé,French
contrapposto,Italian
schiller,German
corroboree,Dharuk (Australian aboriginal language of the Port Jackson area)
siderism,New Latin
respue,Latin
sinciput,Latin
decretum,Latin
cerastes,Middle English
cerastes,New Latin
haček,Czech
crannog,Scottish Gaelic
bacchius,Latin
cocozelle,probably from an Italian dialect word akin to Italian
samadhi,Sanskrit
Albumblatt,German
billiken,probably from the name
Hippocrene,Latin
backfisch,German
gnathostome,New Latin
población,Philippine Spanish
réclame,French
tartarean,Latin
oflag,German
bayadere,borrowed from French
tortillon,French
minhag,Hebrew
cibarial,Latin
cibarial,New Latin
zygoneure,+ New Latin
acritarch,Greek
bouquetière,French
caudillismo,Spanish
thamakau,Fiji
scytale,Latin
tantième,French
cypseline,Greek
filicite,International Scientific Vocabulary
myrmotherine,Greek
sprachgefühl,German
zimocca,New Latin
nixtamal,Mexican Spanish
hippocrepiform,+ Greek
paroemiology,(from Late Latin
scacchite,Italian
pipsissewa,perhaps from Eastern Abenaki
pyrrhuloxia,New Latin
